58	1	[(20.853162528128237, 7.26731541711137)]	[(36.32875044556681, 47.939886156020286)]	([[20.45236328025608, 7.243883943059364]], [1.0], 2, 0.10239081200052169)
58	2	[(20.853162528128237, 7.26731541711137)]	[(36.32875044556681, 47.939886156020286)]	([[20.45236328025608, 7.243883943059364]], [1.0], 2, 0.10182731300119485)
58	3	[(20.853162528128237, 7.26731541711137)]	[(36.32875044556681, 47.939886156020286)]	([[20.45236328025608, 7.243883943059364]], [1.0], 2, 0.10192113899938704)
58	4	[(20.853162528128237, 7.26731541711137)]	[(36.32875044556681, 47.939886156020286)]	([[20.45236328025608, 7.243883943059364]], [1.0], 2, 0.10223361600037606)
69	0	[(7.585287605245507, 16.940253636132823)]	[(22.116396486199832, 21.436445360495668)]	([[7.540483511661427, 16.841799816323]], [1.0], 2, 0.39789422700050636)
69	1	[(7.585287605245507, 16.940253636132823)]	[(22.116396486199832, 21.436445360495668)]	([[7.540483511661427, 16.841799816323]], [1.0], 2, 0.3961726510005974)
69	2	[(7.585287605245507, 16.940253636132823)]	[(22.116396486199832, 21.436445360495668)]	([[7.540483511661427, 16.841799816323]], [1.0], 2, 0.3970931309995649)
69	3	[(7.585287605245507, 16.940253636132823)]	[(22.116396486199832, 21.436445360495668)]	([[7.540483511661427, 16.841799816323]], [1.0], 2, 0.396098573000927)
69	4	[(7.585287605245507, 16.940253636132823)]	[(22.116396486199832, 21.436445360495668)]	([[7.540483511661427, 16.841799816323]], [1.0], 2, 0.3982583300003171)
80	0	[(6.564111004650582, 12.61949576486006), (2.5509012919663303, 21.546395295345633)]	[(46.733625136623395, 5.900872549564694), (11.312722080478286, 28.030108372242342)]	([[147.4188253971358, 6.700449112598853], [2.5626930539842094, 17.43068905270577]], [0.009846727792126815, 0.9901532722078731], 13, 0.6875002329998097)
80	1	[(6.564111004650582, 12.61949576486006), (2.5509012919663303, 21.546395295345633)]	[(46.733625136623395, 5.900872549564694), (11.312722080478286, 28.030108372242342)]	([[147.4188253971358, 6.700449112598853], [2.5626930539842094, 17.43068905270577]], [0.009846727792126815, 0.9901532722078731], 13, 0.6907078379990708)
80	2	[(6.564111004650582, 12.61949576486006), (2.5509012919663303, 21.546395295345633)]	[(46.733625136623395, 5.900872549564694), (11.312722080478286, 28.030108372242342)]	([[147.4188253971358, 6.700449112598853], [2.5626930539842094, 17.43068905270577]], [0.009846727792126815, 0.9901532722078731], 13, 0.6911316540008556)
